1,Timestamp,TITLE,COMPANY,SALARY,GENDER IDENTITY / ETHNICITY,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES / TITLES/ ETC,salary_clean,flag,exp_clean
881,11/14/19 11:28,Staff Editor,The Wall Street Journal,"$116,000 ",Cis white/Asian woman,13,New York,Assign and edit all articles in a section.,"Digital Editor at Conde Nast ($90k), Digital Editor at Forbes ($68k)","$116,000 ",,13
882,11/14/19 11:31,Associate Producer,NowThis,"53,500","White, cis, female",4,New York,"Studio Producing, Videography, Coordinating/Scheduling, Equipment management",,"53,500",,4
883,11/14/19 11:33,Reporter,American City Business Journals,"$45,000 ",cis white female,3,Kansas City,,,"$45,000 ",,3
884,11/14/19 11:33,Assistant Editor,Penguin Random House,"43,000",Cis white woman,6,NYC,,,"43,000",,6
885,11/14/19 11:34,Reporter,Newspaper,"$34,000 ",cis white/Latina,1,"Pikes Peak Region, Colorado","Report and write 2-4 stories/week, take photos, some social media & webbing",,"$34,000 ",,1
886,11/14/19 11:37,Reporter,NBC News,"85,000",still one of the only black people,5.5,New York,"daily reporting, enterprise","75K (reporter), 49K (reporter), 37K (reporter) 29K (reporter)","85,000",,5.5
887,11/14/19 11:40,Digital Producer,Gannett,"35,000",Female/ Caucasian,1,NJ,,,"35,000",,1
888,11/14/19 11:42,Staff Writer,alt weekly,"$40,000 ",cis white male,24,West Coast,"Feature writing, blogging, social media sharing","alt weekly editor ($42,000), think tank journalist ($50,000), alt weekly staff writer ($27,000)","$40,000 ",,24
889,11/14/19 11:46,Senior Art Director,TIME,"$102,000 (starting 2014)","straight cis male, chinese-american",20,New York,"editorial print design (everything except cover), illustrator, hire and art direct freelancer, animated instagram stories","prev HuffPost ($90k senior designer), Boston Globe (80K features design supervisor), Chicago Tribune 65K, San Jose Mercury News 80k, OC Register 45k",102000,,20
890,11/14/19 11:46,Editorial Producer (booker),ABC News,"77,000",F POC,4,NYC,"Book guests for national news, develop long-term stories and relationships",,"77,000",,4
891,11/14/19 11:46,Senior editor,Nonprofit news outlet,95000,Cis white male,10,East coast,"Enterprise reporting, investigations, breaking news, events, multimedia",Started at $28k a decade ago,95000,,10
892,11/14/19 11:49,Reporter,Brooklyn Eagle,"57,000",cis white male,2,Brooklyn,writing multiple stories per day as well as long form pieces covering the borough of Brooklyn,reporter at other NYC publication,"57,000",,2
893,11/14/19 11:53,Digital Editor,NPR,97300,Male/Hispanic,15,"Washington, D.C.",,,97300,,15
894,11/14/19 11:52,Section Editor,Jewish Media Company,56000,Female / Jewish,4,NYC,Section Editor,Deputy Section Editor — 40K,56000,,4
895,11/14/19 11:56,Reporter,Brooklyn Eagle,"$50,000 ",POC/Latina/Female,4,Brooklyn,"Pitching, writing local news stories about the people and politics of Brooklyn","Senior Editor, reporter, intern","$50,000 ",,4
896,11/14/19 11:57,Reporter,ProPublica Illinois,"$70,000 ",cis POC female,12,Chicago,Investigative reporter,"Starting salary at ProPublica Illinos in 2017 was $60K. Prior to that: $48k-$51K at nonprofit online magazines, Catalyst Chicago and Chicago Reporter (2014-2017); $41-$50K at el Nuevo Herald (Miami) (2010-2013); around $37-$40K at Yakima (Wash.) Herald-Republic (2008-2010)","$70,000 ",,12
897,11/14/19 12:11,Photo Editor,The New York Times,"$102,000 ",Female / White,6,New York,"Assigning photographers for daily coverage and enterprise stories, producing visually driven stories","Photo Editor - $100,000
Freelance Photo Editor - $40/hour
Associate Photo Editor - $45,000","$102,000 ",,6
898,11/14/19 12:00,Assistant digital editor,Tribune Publishing,"$35,000 ",white genderqueer,1,Chicago,"Social media, pitching and editing digital stories, also pitching long-form features for monthly print magazine",,"$35,000 ",,1
899,11/14/19 12:00,Video editor and motion graphics,freelance,"165,000",cis white female,20,"Washington, DC","Working on site or remote, I edit, do motion graphics and color grade. Often act as a producer editor. Political spots, non-profits, NGOs, scientific content. Almost all short form.","Starting out as a freelancer 10 years ago, raked in about $110K a year. Before then salaried position was $45K (barf). All in the DC area.","165,000",,20
900,11/14/19 12:01,Reporter,Brooklyn Eagle,"54,000",cis white female,7,Brooklyn,,Previous experience in Brooklyn news,"54,000",,7
901,11/14/19 12:02,Associate Producer,Business Insider,"50,000",White male,2,NYC,Video Producing,,"50,000",,2
902,11/14/19 12:02,Audience and Growth Manager,Brooklyn Eagle,"$65,000 ",Cis white woman,6,"Brooklyn, NY",,,"$65,000 ",,6
903,11/14/19 12:10,Editor in Chief,Digital-first trade publication,"$150,000 ",Cis White Female,15,NYC,Lead editorial team and content strategy; partner with sales team to develop sponsored content programs,"Digital Editorial Director, $150,000","$150,000 ",,15
904,11/14/19 12:13,Video producer,The Oregonian,"67,000",Female,5,"Portland, Oregon","Produce, shoot and edit short-form, long-form and series-based videos",,"67,000",,5
905,11/14/19 12:17,senior writer,nonprofit news site,"100,000",cis white female,9,NYC,report news and features,"science writer ($55,000)","100,000",,9
906,11/14/19 12:18,News Director,NPR Affiliate,"$51,000 ",CIS White Male,12,Upstate New York,"Edit scripts, write scripts, prepare newscasts, on-air","Started as a news producer in 2008 at $26,000","$51,000 ",,12
907,11/14/19 12:20,Producer,Gimlet / Spotify,"$85,000 ",White,4,"Brooklyn, NY",,,"$85,000 ",,4
908,11/14/19 12:24,Reporter,The Ellsworth American,"$24,622 (with benefits, after taxes)",Cis woman/White,2,Maine,"Reporter, weekly newsletter writer, Instagram manager",,,x,2
909,11/14/19 12:25,Editor/Writer,Private University,"64,000",cis white male,14,,"Copyediting, proofreading, supervising and training interns, project management, client relations",,"64,000",,14
910,11/14/19 12:26,Editorial Assistant,Penguin Random House,"40,800",Cis white woman,3,NYC,,,"40,800",,3
911,11/14/19 12:26,Senior Editor,Trade Publishing Company,65k,cis multi-racial woman,10,NY,,"30k @ assistant editor, 35k @desk editor, 53,500k @ associate managing editor, 70k @ managing editor",65000,,10
912,11/14/19 12:29,Government reporter/photojournalist,Woodward Communications Inc.,"$34,000 ",Cis het white woman,1.5,Wisconsin,"Covers two government beats, manages traffic, police coverage",Community reporter and Lead Community Reporter ($12.91 and $14.34),"$34,000 ",,1.5
913,11/14/19 12:39,Reporter,A technology magazine,"$70,000 ",cis Asian-American woman,3,Boston,"Reporting and writing for online, newsletter, and print; some data & interactive work",,"$70,000 ",,3
914,11/14/19 12:44,Program Director,University Licensed NPR Radio Station,"$91,000 USD annually",cis white male,25,Southeast Michigan,,,91000,,25
915,11/14/19 12:46,Reporter,Las Vegas Review-Journal,"$60,000 ",White/het/cis male,6,Las Vegas,Beat reporting,"Beat reporter at smaller paper. Started at $36k, ended at $40k.","$60,000 ",,6
916,11/14/19 12:39,assistant editor,alt-weekly,40000,cis white woman,2,mid-atlantic,"commission & edit freelancers, write & report stories, send newsletters",,40000,,2
917,11/14/19 12:39,Beat Reporter,McClatchy,"45,000",POC,1,Midwest,Typical beat reporting duties.,First job. Interned at two metro daily newspapers in college.,"45,000",,1
918,11/14/19 12:44,Associate Producer,NBC News,"$75,000 ",Asian American Cis Female,2,New York,"Field produce interviews and b-roll shoots, cover and shoot trials, booking interviews, shoot, write, and edit social media content in tandem with on-air pieces. Assist with scripting, research, fact-checking and pre-interviewing. Work with NBC affiliate and promo teams to plan week of air coverage.",NBC Intern $10.50hr // NBC Program Coordinator $17hr + time and a half overtime // NBC Assistant Producer $21hr + time and a half overtime,"$75,000 ",,2
919,11/14/19 12:47,Managing Editorial Assistant,Henry Holt (imprint of MacMillan),37K (after 2+ years in position),Cis White Male,5,"New York, NY","Copyedit, Proofread, Hire + Manage + Pay freelancers, create schedules, serve as project manager on at least 2 books a season, arrange and conduct meetings",,37000,,5
920,11/14/19 12:47,Audience Engagement,New York Magazine/Vox,"55,000",White cis woman,2,NYC,"- Run Twitter, Facebook, Pinterest, and Instagram for one vertical
- Create and budget paid social campaigns 
- Coordinate and implement social swaps","Interned all four years of college, 3 years of which were in legacy media, this is my first full time job.","55,000",,2
921,11/14/19 12:49,Reporter/newsletter writer,POLITICO,"57,000",cis/white,3,DC,"reporting, producing daily newsletter",,"57,000",,3
922,11/14/19 12:52,Producer,,40000,female / white,5,Oregon,,,40000,,5
923,11/14/19 12:56,Audit Staff,Iowa Public Accounting Firm,"59,000",Female Asian,1,"Des Moines, Iowa",Audit,,"59,000",,1
924,11/14/19 12:58,Reporter,Fayetteville Observer,"$41,000 ",Female / White,9,"Fayetteville, NC",Reporter,"36,000 reporter in Pittsburgh, 24,000 reporter in York, PA, $11/hour reporter in Lorain, OH","$41,000 ",,9
925,11/14/19 13:02,Reporter,Beaver Dam Partners,"32,200",Female,3,Massachusetts,"Reporting, writing, copyediting, layout, social media",,"32,200",,3
926,11/14/19 13:08,Reporter,New York Times,"$140,000 ",cis male nonwhite,9,not NY/DC,"mix of enterprise reporting, features and breaking news",,"$140,000 ",,9
927,11/14/19 13:09,Associate digital editor,new york post,"$64,000 ",white cis female,5,new york,edit and publish syndicate stories to site,Associate reporter/producer and reporter/producer,"$64,000 ",,5
928,11/14/19 13:12,Editorial / Executive Assistant,The Real Deal,"$45,000 ",Cis White Female,3,New York City,"everything from managing EIC's calendar and email, acting as central admin for 50+ employees, schedule and coordinate all internal and external meetings for editorial team, booking all travel for editorial team, posts jobs resume reading phone interviewing and scheduling, research projects, transcribing and proofing, etc etc etc etc etc etc etc etc etc etc etc etc",,"$45,000 ",,3
929,11/14/19 13:17,Associate Producer,CNN,"60,000 plus overtime",cis male,1,New York,"Writing scripts, gathering elements, other show related tasks",Interned for the team I now work for which allowed me to move into this position faster than what is probably usual,60000,,1
930,11/14/19 13:21,senior reporter,Vox Media,"95,000",male / white,9,DC,Beat reporting / writing stories and features.,"Original salary as a Vox reporter: $60,000 (coming from another news outlet). Salary increases since through promotion and competing offers.","95,000",,9
931,11/14/19 13:24,Foreign Correspondent,Major Canadian media organization,"$117,000 Cdn/$90 k USD",White female,25,toronto,"cover all economic, political, cultural news in a designated geographic region for print + online, represent the organization at public events. Intensive travel, 65+ hrs week, no defined workday.","Staff reporter, Cdn $ 90k /yr",90000,,25
932,11/14/19 13:25,"Page editor, ""Finisher""",Gannett,16.40/hr,White Cis woman,10,Des Moines,"Light copy-editing, proofreading, story trimming for 2-4 papers/night.",I was making $12-something until a teammate mentioned starting at $15 and I threw a fit.,,x,10
933,11/14/19 13:26,Reporter,Gatehouse Media,"26,000","Presenting cis, straight white male",1,Florida,Daily news reporting and features writing across two major beats. Editing press releases for publication.,None,"26,000",,1
934,11/14/19 13:31,Producer,CNN,"$100,000 + bonus",White male,10,NY,Edit video,,100000,,10
935,11/14/19 13:37,Reporter,Gannett,"$18/hour or $38,000",Cis Latina woman,2,Texas,Local education reporting,"Worked for two years as a copy editor/writer at a small daily newspaper (where I made less than $12 an hour after taxes), earned a master's degree in journalism, worked as a fellow for a statewide political magazine ($5,000 stipend for five months).",38000,,2
936,11/14/19 13:41,Video Editor / Motion Designer,,"50,000",Cis White Male,4,Los Angeles,"Sole Video Editor for startup company, edit and create motion graphics for TV shows, social media and commercial. Edit 2-5 videos a day depending on content",25 p/h for Assistant Editor,"50,000",,4
937,11/14/19 13:41,Reporter,Baltimore Sun Media,"~$30,000",Cis-het-white,3,Baltimore,Suburban reporting,"$44,000 at a DC industry publication",30000,,3
938,11/14/19 13:41,Reporter/Copy editor,Forum Communications,$15.92 ,WF,20,Minnesota,"Writing, photography","Reporter, Copy desker",,x,20
939,11/14/19 13:43,Data reporter,NJ Advance Media,"$50,000 ",Male/White,3,"Woodbridge, New Jersey",Use reporting and open records laws to find and collect data; use python and other tools to analyze data; report stories based on data; make charts and other graphics to visualize data.,"Government & data reporter - $38,000","$50,000 ",,3
940,11/14/19 13:44,Reporter (politics),POLITICO,"75,000",White female,10,Washington DC,Reporting daily and enterprise stories,,"75,000",,10
941,11/14/19 13:45,Editorial Associate,Trade publication/National association,"$46,000 ",Cis white woman,2,DC/Baltimore Metro Area,"Weekly newsletter articles, write monthly features, edit monthly magazine, design surveys for in-house research, edit in-house text books, manage newsletter for sister organization, manage Twitter account, travel bi-yearly to national conferences to cover.","Arts Editor at alt weekly in upstate NY, $11 an hour @ 20 hours a week.","$46,000 ",,2
942,11/14/19 13:51,Reporter,Law360,"68,000",female,8,,,,"68,000",,8
943,11/14/19 13:55,Social Media Specialist,NJ Advance Media (NJ.com and Star-Ledger),"$43,492.80 ",Female / White,3,"Woodbridge, NJ","Post an article to Facebook every hour for 8 hours, adjust article headlines as necessary to make them more social-friendly, adjust feature photos on articles as necessary to make them more social-friendly, monitor Facebook comments, monitor Facebook analytics and re-evaluate status copy 10 minutes or so after posting if the post isn't getting the engagement we expected, post to Instagram 5 times per day, monitor Instagram comments, conceptualize and design graphic cards to accompany article links on social media (Twitter, Insta, FB) and to stand alone on the accounts (NJ celeb birthday cards, weather-related graphics, memes, share data points in visual ways), constantly refresh website to ensure no breaking news stories are missed, keep up-to-date on social media trends on different platforms, post at least one Instagram story each week, partner with reporters to design and implement social media rollout plans for big stories and projects, utilize CrowdTangle to see what stories are ""popping"" on competitor's social media pages and to come up with potential new story ideas to pitch to editors, maintain calendar of events/National Holidays/anniversaries that can potentially have a social play, check Twitter messages every day and reply to users, check Instagram comments every day and reply to users, reply to commenters on Facebook and Instagram to answer their questions or engage in witty banter",Copywriter - $49K; Communications assistant - $40K,"$43,492.80 ",,3
944,11/14/19 13:55,Senior Editor,Kaiser Permanente,"85,000",gay white cis woman,10,"Los Angeles, CA","brainstorm, write, and edit nationally distributed B2B and B2C content across print/digital, including emails, website copy, mailers, billboards, etc.","Copy Director, Clique ($93,500, up from $70,000 over 4 years); Copy Editor, POPSUGAR ($48,500, up from $45,000 over 3 years)","85,000",,10
945,11/14/19 13:56,Associate Editor,VICE,"60,000",cis white woman,3,NYC,"assigning and editing ~10 articles a week, writing timely blogs (culture/entertainment) and longer features, participating in editorial meetings and tentpole content brainstorming","I ""pivoted"" to journalism in my mid-20s. Before VICE, I had 2 years experience as a producer at an ad agency; 1 year experience as an executive assistant; and 2 years experience working at an arts nonprofit","60,000",,3
946,11/14/19 13:56,Editorial Assistant,trade magazine,"51,000",CIS white female,3,New England,,,"51,000",,3
947,11/14/19 14:36,Social Media Manager,"Britannica, Inc.","$51,000 ",Cis-Het White Female,13,Chicago,"Community management, content management, budgeting and management of paid content, editorial calendars, day-to-day posting, blogging, video script composition, graphic design, news judgement, copy editing, social media strategy, light video editing, analytics reporting, video production...","I got a 2% ""raise"" after two years at current position. Company instituted 401k match for the first time a couple months ago. Previous: Social Media Manager @ [Satire Website] ($38k/year), Social Media Specialist/Copywriter @ [Marketing Firm] ($15/hr). Before that, years of freelance/unpaid hell post Master's Degree.","$51,000 ",,13
948,11/14/19 14:01,Senior audience engagement manager,CBS Interactive,"$90,000 ",cis latinx female,6,San Francisco,Mobile audience engagement and development,copy editor: $54K / homepage editor: $67K / engagement editor: $83K,"$90,000 ",,6
949,11/14/19 14:04,Photographer,"Prefer not to say, sorry",89050,Male,39,Chicago,Everything,,89050,,39
950,11/14/19 14:04,Staff Writer,Bustle Digital Group,$30/hr,cis white woman,8,Remote,"researching, pitching, writing 2-3 blogs or 1,500 words a day",Associate editor - $60K; Producer - $75K; Executive assistant - $45K; Events director at a nonprofit - $35K,,x,8
951,11/14/19 14:09,Editorial Assistant,Meredith,"$35,000 ",cis white female,2,NYC,Assistant to the editor in chief (+ other administrative duties); write 3-4 print articles per month and about 2-3 digital articles per month.,,"$35,000 ",,2
952,11/14/19 14:10,Education reporter,Gannett,$17/hour,cis female white,4,"Iowa City, Iowa","Cover mostly local education issues. Sometimes cover statewide education news. For roughly 1-3 weeks per year, I take over the tasks of another employee, who organizes and creates content for four weekly county newspapers alone.",local reporter for BH Media in Texas (<$30K/year),,x,4
953,11/14/19 14:14,Reporter,San Diego Business Journal,"$50,000 ",cis white female,5,San Diego,"reporting, writing, editing, events","$40,000 - Reporter in Kansas City (after raise); $35,000 - Reporter in Kansas City; $32,000 - Reporter in Colorado","$50,000 ",,5
954,11/14/19 14:16,Producer,NowThis,"67,300","Woman, latina",2,"New York, NY",Reporting/producing/shooting/script writing/editing original video content; hosting,Associate Producer 57000,"67,300",,2
955,11/14/19 14:18,Multimedia Reporter,The Arizona Republic/Gannett/USA Today,"46,000",cis white woman -- disabled,2,"Phoenix, Arizona","-report stories
-shooting video, photo, audio
-editing video, audio/producing video","AP Temp Reporter ($48,000), NPR Temp ($40,000), CNN News Associate ($36,400)","46,000",,2
956,11/14/19 14:19,Video Producer,NBC News,"$90,000 ",Cis_het woman of color,8,New York,"shoot/produce/report/edit videos for enterprise/feature stories, both field and studio production","Producer at a digital startup, started with $60,000 and ended with $70,000","$90,000 ",,8
957,11/14/19 14:21,Rachel Justice,Washington Post,"200,000",Ze/zim/zer,12,DC,Burying stories,,"200,000",,12
958,11/14/19 14:22,Reporter,Bloomberg,"128,000",Cis white female,10,New York,Reporting and writing for Bloomberg News and BW,,"128,000",,10
959,11/14/19 14:23,Kavanaugh Lie Machine,NYT,"420,069",Apache Helicopter,-4,In Darkness,Making shit up,Head of News at CNN,"420,069",,-4
960,11/14/19 14:24,Reporter,Gannett,"$28,600 ",cis white woman,2.5,Iowa,"Reports and writes on courts, crime, public safety, breaking news","freelance video producer, news reporter, graduate student","$28,600 ",,2.5
962,11/14/19 14:28,Reporter,BH Media,"$36,000 ",Woman/White,3,Virginia,My beat and anything else that pops up,"$28,000 at a community newspaper","$36,000 ",,3
963,11/14/19 14:29,Social/Audience,Group Nine,"$72,000 ",cishet white male,6,,,"Salon: $35,000 for all entry-level.","$72,000 ",,6
964,11/14/19 14:32,Producer,Meredith Corporation,"$68,000 ",White male,15,Atlanta,Primary producer for assigned early-evening news broadcasts,,"$68,000 ",,15
965,11/14/19 14:34,Editorial Assistant/Executive Assistant to the Editor-in-Chief,Condé Nast,"40,000+ overtime","Female, White",1,"New York, NY","Administrative tasks (expenses, answering phones, calendar management, beauty/fitness closet management, running meetings, handling office parties and birthdays), reporting, writing articles, writing social copy for Snapchat and Instagram, building articles, pitching","First full-time job after 6 media-related internships in college. 3/6 internships unpaid, 2/6 $15/hr, 1/6 permalance $15/hr no overtime",40000,,1
966,11/14/19 14:35,Staff Writer,VICE,"66,000",Asian Mixed Race Woman,2,Brooklyn,"Write 3-6 articles/wk on my beat, including blogs, longer investigations, scoops, podcasts",,"66,000",,2
967,11/14/19 14:37,Magazine Editor,Southern Newspapers Inc.,"$30,000 ",Male/Caucasian,10,Texas,Split full time position between producing a monthly magazine and serving as a full-time reporter. Not to mention managing the social media and digital feeds.,"$25,000/reporter","$30,000 ",,10
968,11/14/19 14:38,Managing Editor,BH Media,"35,000",Cis white woman,3,Virginia,"Full-time reporter in addition to assigning, editing & curating contributed content for each edition. Representing the paper to higher-ups and the community. Managing all social media.","Editorial assistant/reporter @ $10.50/hr; writer for a DC-based nonprofit @ $52,000/year.","35,000",,3
969,11/14/19 14:40,Editor,Simon & Schuster,$70K,White cis female,6,NYC,Acquiring and editing books.,,70000,,6
970,11/14/19 14:41,Visual journalist - supervisor,Employee-owner paper,47500,White cis female,12,Iowa,"Photography, management of photo department",41000 - photojournalist,47500,,12
972,11/14/19 14:45,Production Coordinator,CBS,"83,200 before taxes",Female,4,New York,,,83200,,4
973,11/14/19 14:45,Producer,ABC,"110,000",White Cis Male,15,New York,Covering up Epstein's crimes to protect the Clintons,,"110,000",,15
974,11/14/19 14:46,Writer,WIRED,"60,000",Male / White,9,Remote,Reporting,,"60,000",,9
975,11/14/19 14:47,Reporter,A McClatchy daily,37000,white female,20,Illinois,"reporting, photography, videography, social media, investigative, breaking",,37000,,20
976,11/14/19 14:47,Freelancer,,12000,female,22,"St. Louis, MO","writing, photography, editing",reporter,12000,,22
977,11/14/19 14:48,Reporter,Adams Publishing Group/APG Chesapeake,"$30,000 ",Cis white woman,4,Maryland,"Beat reporter assigned to crime, municipal government writing 10 stories/week for twice-weekly publication. I do all my own photography and most of my own editing because we are incredibly poorly staffed.","Company used to be owned by Washington Post before Jeff Bezos sold it in 2015: had worked here then from 2011-2014. Previously a communications worker in state government making $57,000/annually.","$30,000 ",,4
978,11/14/19 14:48,Editor in Chief,The Intercept,"$368,249 ",F/W,30,New York City,Go to meetings,,"$368,249 ",,30
979,11/14/19 14:48,associate producer,wall street journal,"65,000",white woman,2,new york,,production assistant,"65,000",,2
980,11/14/19 14:48,Freelance Reporter,Freelance,"$60,000 (3/4 time)","Cis, het, white female",17,CO,"self-employed reporter, writer, and editor; research, report and write news and feature articles for mainstream news outlets and niche publications; business manager and keeper of all domestic knowledge, too","Always self-employed; salary has ranged from $72,000 (full-time) to $40,000 (half-time)",60000,,17
981,11/14/19 14:48,Video Producer,Verizon Media,"$67,000 ",Latinx,2.5,NYC,,,"$67,000 ",,2.5
982,11/14/19 14:51,Reporter,Breaking Media,"$60,000 ",Cis white female,5.5,Remote / Southern California,"Report on health insurance, tech","$50,000 - Southern California business weekly, $40,000 - KC business weekly, $32,000 - first job in CO.","$60,000 ",,5.5
983,11/14/19 14:51,Reporter,Gannett,"43,000",Cis female / Asian,4,South,Investigative reporting,"Started at another Gannett paper as a beat reporter, earning $33,800 a year.","43,000",,4
984,11/14/19 14:52,General Assignment Reporter,Gannett,"$33,000 ",cis white woman,1,Indiana,"plan, report and write general news for daily paper (2-3 stories daily) in midsize Midwest college town","Previously: 1 unpaid internship, one paid through state journalism association ($12 an hour), experience in college newsroom","$33,000 ",,1
985,11/14/19 14:53,"Executive Editor, News",The New York Times,"350,000",Black,30,New York,,,"350,000",,30
986,11/14/19 14:53,Associate Editor,Annex Business Media,"$42,000 CAD",cis-het female,4,Toronto,"Managing three print magazines, its websites and social media. Organize workshops and business conferences sponsored by the company (requires some travel). Write and produce content for digital and print.","Starting salary $28,000 a year at a local newspaper.",,x,4
987,11/14/19 14:54,General assignment reporter,Law360,"$64,872 ",Cis white female,5,New York City,"Write several stories a day about legal and policy updates, mainly based off court documents. Sometimes write deeper features and analyses","$27,000 at a BH newspaper","$64,872 ",,5
989,11/14/19 14:55,Staff Writer,Tribune Publishing,"$35,000 ",Cis white male,6,Hampton Roads,"Writing, editing, and shooting photos for a weekly business journal. Attending events, developing sources, operating a content management system.","$25,000, staff writer, Southside Virginia daily with BH Media
$22,000, sports reporter and designer, community weekly in Georgia","$35,000 ",,6
990,11/14/19 14:55,Podcast/Radio Host,NPR Affiliate,75000,Male / Cis / White,8,New Hampshire,"Reporting, Editing, Audio Production... an ""everyone does everything"" kinda shop","Started at $40,000 in 2011 and worked way up",75000,,8
991,11/14/19 14:59,Editorial Curator,Verizon Media Group,"66,000",white cis woman,2,,,,"66,000",,2
992,11/14/19 15:00,Assistant Editor,The Altus Times,"$24,000 annually",Cis white male,4,Oklahoma,"Research, writing, editing, photography -- all the above.

I am the only sportswriter at the newspaper, and it is my job to cover four local high schools and one junior college. On top of that, I am required to also write a few news stories every week for this paper and another one my company owns.",,24000,,4
993,11/14/19 15:01,Digital Media Manager,environmental nonprofit,"$43,000 ","cis female, white",2,Washington D.C.,"social media content production, scheduling of social, digital strategy, blog post writing & editing, advertising, and any other digital/comms work you could possibly imagine",,"$43,000 ",,2
994,11/14/19 15:02,Reporter,Lee Enterprises,"$47,500 ",Cis white woman,3,Wisconsin,,,"$47,500 ",,3
996,11/14/19 15:03,Publisher,Group Nine Media,"$62,500 ",CIS Man / Mixed Race Black,3,"New York, NY","publishing, copy writing, scheduling, deadline setting, partnership management",$55 assoc. producer,"$62,500 ",,3
997,11/14/19 15:07,State beat reporter,Gannett,"$65,000 ",White female (cis/het),9,Arizona,"Cover governor, state agencies, legislative issues and the state Supreme Court. Specifically, report/research; develop sources and story ideas; write breaking, daily, mid-term and enterprise stories; get scoops; lead state budget coverage; serve as backup legislative reporter; work elections and provide politics coverage during election lead-up; do regular radio/TV/podcast appearances; maintain advance obituaries for political figures; request and review public records; monitor social media of relevant persons; maintain consistent social media presence; among other responsibilities.","City beat reporter $34k (hourly...raises ranged from 2-6%)
Topical beat reporter $40k (hourly)
Topical beat reporter + part-time breaking news editor $45k
State beat reporter $58k (2 raises)","$65,000 ",,9
